Wind power [kW];Nuclear power plant [kW];Demand [kWh];Total power supply [Kw];Supply - Demand;;;;;
1399,417;1415322,58;1509886;1416721,997;-93164,003;;;;;
1436,171;1415322,58;1532315;1416758,751;-115556,249;;;;;
1528,625;1415322,58;1523305;1416851,205;-106453,795;;;;;
1613,523;1415322,58;1492172;1416936,103;-75235,897;;;;;
1623,622;1415322,58;1464570;1416946,202;-47623,798;;;;;
1532,952;1415322,58;1439868;1416855,532;-23012,468;;;;;
1317,207;1415322,58;1397516;1416639,787;19123,787;;;;;
1238,263;1415322,58;1392112;1416560,843;24448,843;;;;;
1238,178;1415322,58;1448954;1416560,758;-32393,242;;;;;
1319,734;1415322,58;1624569;1416642,314;-207926,686;;;;;
1463,892;1415322,58;1781959;1416786,472;-365172,528;;;;;
1558,127;1415322,58;1787245;1416880,707;-370364,293;;;;;
1587,414;1415322,58;1740931;1416909,994;-324021,006;;;;;
1537,628;1415322,58;1674207;1416860,208;-257346,792;;;;;
1487,647;1415322,58;1602133;1416810,227;-185322,773;;;;;
1397,172;1415322,58;1527435;1416719,752;-110715,248;;;;;
1292,485;1415322,58;1447377;1416615,065;-30761,935;;;;;
1210,331;1412096,77;1406703;1413307,101;6604,101;;;;;
1152,547;1412096,77;1391394;1413249,317;21855,317;;;;;
1272,629;1412096,77;1402973;1413369,399;10396,399;;;;;
1318,757;1412096,77;1416215;1413415,527;-2799,473;;;;;
1356,129;1412096,77;1443081;1413452,899;-29628,101;;;;;
1439,396;1412096,77;1496470;1413536,166;-82933,834;;;;;
1464,529;1412096,77;1595320;1413561,299;-181758,701;;;;;
1487,654;1412096,77;1708292;1413584,424;-294707,576;;;;;
1512,792;1412096,77;1727957;1413609,562;-314347,438;;;;;
1510,925;1412096,77;1694607;1413607,695;-280999,305;;;;;
1477,485;1412096,77;1631553;1413574,255;-217978,745;;;;;
1574,127;1412096,77;1588470;1413670,897;-174799,103;;;;;
1613,514;1412096,77;1555302;1413710,284;-141591,716;;;;;
1879,154;1412096,77;1508574;1413975,924;-94598,076;;;;;
2156,81;1412096,77;1495764;1414253,58;-81510,42;;;;;
2241,991;1412096,77;1524713;1414338,761;-110374,239;;;;;
2202,397;1412096,77;1646169;1414299,167;-231869,833;;;;;
2116,915;1412096,77;1743833;1414213,685;-329619,315;;;;;
2005,82;1412096,77;1714276;1414102,59;-300173,41;;;;;
1703,7;1412096,77;1652298;1413800,47;-238497,53;;;;;
1584,178;1412096,77;1575596;1413680,948;-161915,052;;;;;
1375,584;1412096,77;1490845;1413472,354;-77372,646;;;;;
1328,573;1412096,77;1396562;1413425,343;16863,343;;;;;
1255,944;1412096,77;1302034;1413352,714;111318,714;;;;;
